Nom;Aspect;Curvature;DEM;Density_river;Density_road;Distance_river;Distance_road;Flow_direction;NDBI;NDVI;NDWI;Slope;TWI_final;Rainfall
Yes;0;0,527473;0,00055;0,603625;0,126996;0,053385;0,044397;0,248031;0,324302;0,853344;0,675698;0;0,565929;0,807449
Yes;0;0,527473;0,0011;0,545185;0,16165;0,00314;0,027019;0,248031;0,338798;0,883193;0,661202;0;0,364767;0,773923
Yes;0;0,527473;0,002199;0,526851;0,136406;0,036622;0,017873;0,248031;0,316197;0,880181;0,683803;0;0,480907;0,771705
Yes;0;0,527473;0,003299;0,570735;0,136306;0,094679;0,009655;0,248031;0,319393;0,88107;0,680608;0;0,458924;0,773133
Yes;0;0,527473;0,00055;0,687743;0,097617;0,068944;0,016956;0,248031;0,329976;0,875187;0,670024;0;0,529476;0,811239
Yes;0;0,527473;0,00055;0,705225;0,096061;0,032331;0,013285;0,248031;0,305007;0,90987;0,694993;0;0,539101;0,8105
Yes;0;0,527473;0,00055;0,623717;0,116657;0,016911;0,013901;0,059055;0,297942;0,894845;0,702058;0;0,571909;0,813507
Yes;0;0,527473;0,00055;0,603862;0,142113;0;0,054008;0,059055;0,204015;0,638904;0,795985;0;0,564851;0,81455
Yes;0;0,527473;0,00055;0,621543;0,130423;0,00314;0,0514;0,059055;0,293723;0,904056;0,706277;0;0,603294;0,812341
Yes;0;0,527473;0,00055;0,56601;0,13658;0,004441;0,083534;0,059055;0,22986;0,49151;0,77014;0;0,619909;0,817495
Yes;0;0,527473;0,00055;0,559631;0,126503;0;0,070563;0,059055;0,257092;0,479422;0,742908;0;0,618762;0,819278
Yes;0;0,527473;0,00055;0,361916;0,110636;0,075367;0,002171;0,059055;0,405508;0,814234;0,594492;0;0,525752;0,82404
Yes;0;0,527473;0,001649;0,356683;0,116384;0,054843;0,000724;0,059055;0,367164;0,823567;0,632836;0;0,364767;0,825992
Yes;0;0,527473;0,00055;0,277425;0,123104;0,032331;0,005834;0,059055;0,338329;0,854642;0,661671;0;0,437642;0,828931
Yes;0;0,527473;0,001649;0,568374;0,166881;0,060405;0,009709;0;0,406624;0,864229;0,593376;0;0,52444;0,780033
Yes;0;0,527473;0,0011;0,495984;0,16265;0,022205;0,001447;0,248031;0,373062;0,858253;0,626938;0;0,477283;0,775003
Yes;0;0,527473;0,001649;0,510375;0,165455;0,107918;0,021283;0,5;0,328758;0,885807;0,671242;0;0,589165;0,775922
Yes;0;0,527473;0,00055;0,692032;0,09974;0,016012;0;0,248031;0,332041;0,883406;0,66796;0;0,589799;0,809441
Yes;0;0,527473;0,00055;0,738472;0,094847;0,025896;0,012823;0,248031;0,334489;0,884653;0,665511;0;0,538127;0,809065
Yes;0,802495;0,538462;0,002749;0,54694;0,148074;0,017764;0,015871;0,059055;0,387626;0,828994;0,612374;0,030983;0,279403;0,775025
Yes;0;0,527473;0,0011;0,556545;0,163398;0,045723;0,009518;0,011811;0,317644;0,882187;0,682356;0;0,593423;0,776674
Yes;0;0,527473;0,0011;0,584275;0,16184;0,007022;0,009843;0,248031;0,31459;0,88049;0,68541;0;0,49809;0,782141
Yes;0;0,527473;0,00055;0,485008;0,13228;0,00314;0,00422;0,059055;0,266004;0,92005;0,733997;0;0,653039;0,817838
Yes;0;0,527473;0,00055;0,531516;0,128923;0,018311;0,002895;0,059055;0,22461;0,617027;0,77539;0;0,649648;0,816137
Yes;0;0,527473;0,00055;0,57588;0,112112;0,037814;0,013046;0,248031;0,31195;0,876324;0,68805;0;0,480907;0,814531
Yes;0;0,527473;0,00055;0,521652;0,116712;0,135616;0,015214;0,059055;0,391229;0,860005;0,608771;0;0,655092;0,816318
